Page,Status,Priority,Complexity,Notes
Events\2008BICourse\Default.aspx,Redirect,4,0,
Events\2008UTSNET\Default.aspx,Redirect,4,0,
Events\2008UTSNET\resources.aspx,Redirect,4,0,
Events\2008UTSSQL\Default.aspx,Archived,2,0,
Events\2008UTSSQL\resources.aspx,Archived,2,0,
Events\2009TourDeWagga\DailyBreakdown.aspx,Archived,2,0,
Events\2009TourDeWagga\Default.aspx,Archived,2,0,
Events\2009UTSNET\Default.aspx,Redirect,4,0,
Events\2009UTSNET\resources.aspx,Redirect,4,0,
Events\2009UTSSharePoint\Default.aspx,Redirect,4,0,
Events\2009UTSSQL\Default.aspx,Archived,2,0,
Events\2009UTSSQL\resources.aspx,Archived,2,0,
Events\2010UTSBI\Default.aspx,Archived,2,0,
Events\2010UTSSharePoint\Default.aspx,Redirect,4,0,
Events\2010UTSSQL\Default.aspx,Archived,2,0,
Events\2010UTSSQL\resources.aspx,Archived,2,0,
Events\2011UTSNET\Default.aspx,Archived,2,0,
Events\2011UTSSharePoint\Default.aspx,Archived,2,0,
Events\2011UTSSQL\Default.aspx,Archived,2,0,
Events\ebooks\angularjs-5-lessons-from-the-trenches.aspx,Archived,2,0,
Events\TechBreakfast\How-to-become-a-developer-in-2015.aspx,Archived,2,0,
Events\TechBreakfast\How-to-change-your-career-and-become-a-developer-in-2015.aspx,Archived,2,0,
Events\TechBreakfast\How-to-upgrade-your-skills-to-developer-in-2015.aspx,Archived,2,0,
Events\Training\Advanced-TSQL.aspx,Archived,2,0,
Events\Training\ASP-NET-MVC-AngularJS-TechEd-Secret.aspx,Archived,2,0,
Events\Training\ASP-NET-MVC-AngularJS-TechEd.aspx,Archived,2,0,
Events\Training\BI-Bootcamp.aspx,Archived,2,0,
Events\Training\BI-Immersion.aspx,Archived,2,0,
Events\Training\Brain-Quest-ALM-in-a-Day.aspx,Archived,2,0,
Events\Training\Brain-Quest-VS-TFS-Sharepoint.aspx,Archived,2,0,
Events\Training\Data-Mining-Seminar.aspx,Archived,2,0,
Events\Training\DevOps-SuperPowers-VisualStudio.aspx,Archived,2,0,
Events\Training\Enterprise-MVC-Day-1.aspx,Archived,2,0,
Events\Training\Enterprise-MVC-Day-2.aspx,Archived,2,0,
Events\Training\Enterprise-MVC-Day-3.aspx,Archived,2,0,
Events\Training\Enterprise-MVC-Day-4.aspx,Archived,2,0,
Events\Training\Enterprise-Xamarin-2-Day-Essentials.aspx,Archived,2,0,
Events\Training\Ionic-Superpowers-Tour.aspx,Archived,2,0,
Events\Training\Juval-Lowy-Architects-Clinic.aspx,Archived,2,0,
Events\Training\Optimization-Performance.aspx,Archived,2,0,
Events\Training\Power-Sessions.aspx,Archived,2,0,
Events\Training\QUT-Angular2.aspx,Archived,2,0,
Events\Training\Scrum-Master-Training-Course.aspx,Archived,2,0,
Events\Training\Scrum-Training-Course-3-days.aspx,Archived,2,0,
Events\Training\Scrum-Training-Course.aspx,Archived,2,0,
Events\Training\SolidQ-Courses.aspx,Archived,2,0,
Events\Training\SQL-Server-2012-Integration-Services.aspx,Archived,2,0,
Events\Training\SSIS-Seminar.aspx,Archived,2,0,
Events\Training\TechBreakfast-VS-2012.aspx,Archived,2,0,
Events\Training\TSQL-Fundamentals.aspx,Archived,2,0,
Events\Training\VS-2012.aspx,Archived,2,0,
Events\Training\Training-Options.aspx,Redirect,4,0,
Events\Training\Angular-ASP-MVC-in-VS2015-Jumpstart.aspx,Done,1,0,
Events\Training\Angular-Superpowers-Tour.aspx,Done,1,0,
Events\Training\Angular-Workshop.aspx,Done,1,0,
Events\Training\Azure-Superpowers-Tour.aspx,Done,1,0,
Events\Training\Azure-Superskills.aspx,Done,1,0,
Events\Training\Brain-Quest-VS2015-ASP-NET-vNext-DevOps-Discount.aspx,Done,1,0,
Events\Training\Brain-Quest-VS2015-ASP-NET-vNext-DevOps.aspx,Done,1,0,
Events\Training\Clean-Architecture-Superpowers-Tour.aspx,Done,1,0,
Events\Training\Clean-Architecture-Workshop.aspx,Done,1,0,
Events\Training\Courses.aspx,Done,1,0,
Events\Training\default.aspx,Done,1,0,
Events\Training\DevOps-SuperPowers-VS2015-ASP-NET-vNext-Discount.aspx,Done,1,0,
Events\Training\DevOps-SuperPowers-VS2015-ASP-NET-vNext.aspx,Done,1,0,
Events\Training\Enterprise-MVC-Part-1.aspx,Done,1,0,
Events\Training\Enterprise-MVC-Part-2.aspx,Done,1,0,
Events\Training\NET-5-Superpowers-Tour.aspx,Done,1,0,
Events\Training\NET-6-Superpowers-Tour.aspx,Done,1,0,
Events\Training\NET-Core-Superpowers-Tour.aspx,Done,1,0,
Events\Training\NET-Superpowers-Tour.aspx,Done,1,0,
Events\Training\Professional-Tailored-Scrum.aspx,Done,1,0,
Events\Webinars\8-Month-Software-Development-Retrospective.aspx,Archived,2,0,
Events\Webinars\Building-SPA-with-MVC4.aspx,Archived,2,0,
Events\Webinars\DevSuperpowers-AngularJS-with-TypeScript.aspx,Archived,2,0,
Events\Webinars\DevSuperpowers-AngularJS.aspx,Archived,2,0,
Events\Webinars\DevSuperpowers-ASP-NET-MVC.aspx,Archived,2,0,
Events\Webinars\DevSuperpowers-ASP-NET-vNext.aspx,Archived,2,0,
Events\Webinars\DevSuperpowers-Azure.aspx,Archived,2,0,
Events\Webinars\DevSuperpowers-Bootstrap.aspx,Archived,2,0,
Events\Webinars\DevSuperpowers-iOS-and-Android.aspx,Archived,2,0,
Events\Webinars\DevSuperpowers-Project-Management-with-Visual-Studio-Online.aspx,Archived,2,0,
Events\Webinars\DevSuperpowers-SignalR.aspx,Archived,2,0,
Events\Webinars\DevSuperpowers-web-API.aspx,Archived,2,0,
Events\Webinars\DevSuperpowers-XamarinForms-MVVM.aspx,Archived,2,0,
Events\Webinars\Great-Intranets-James-Robertson.aspx,Archived,2,0,
